box,year,Clutch_size,ld,average_temperature_laying,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,Num_fledglings,Num_chicks,num_neighbors,Mother
B34,1966,9,124,9.088888889,11.35769231,10.89375,14.975,17.3375,8,9,5,AH57797
B112,1967,9,118,8.688888889,10.96333333,10.89375,12.66875,12.8875,0,9,5,AH57797
C24,1965,8,133,12.5125,NA,NA,NA,NA,0,0,6,AK41549
C57,1966,9,116,11.97777778,NA,NA,NA,NA,0,0,4,AK41549
EX35,1983,11,116,9.854545455,10.43076923,10.5375,11.66875,14.675,9,10,6,B067118
EX8,1983,9,120,10.4,9.903571429,10.41875,13.3,14.24375,8,9,5,B067120
W19,1983,11,117,10.05454545,10.1375,10.5375,11.66875,14.675,11,11,3,B067122
W19,1984,10,120,9.43,9.160714286,10.675,11.53125,14.65,9,10,3,B067122
CP41,1983,10,123,10.195,10.35384615,11.28125,14.6875,12.8125,10,10,3,B067123
EX51A,1983,9,122,10.2,9.803571429,10.725,14.225,13.65625,9,9,7,B067124
W16,1983,8,121,10.48125,9.930769231,10.58125,12.50625,14.65625,8,8,6,B067126
EX48,1983,11,121,9.868181818,9.992307692,10.725,14.225,13.65625,11,11,5,B067127
W36,1983,10,117,9.83,10.43076923,10.5375,11.66875,14.675,9,10,6,B067128
W24,1983,9,120,10.4,9.930769231,10.58125,12.50625,14.65625,8,9,5,B067129
W35,1983,8,120,10.26875,10.1,10.58125,12.50625,14.65625,8,8,5,B067130
EX65,1983,9,120,10.4,9.89,10.475,13.6125,14.29375,8,9,6,B067131
EX64,1984,8,128,8.18125,10.6375,12.95625,15.44375,15.44375,7,7,6,B067131
EX62B,1983,12,118,10.09166667,9.778571429,10.475,13.6125,14.29375,11,12,3,B067132
EX62B,1984,10,127,8.545,10.67941176,12.2,14.875,16.2,8,10,3,B067132
EX62A,1985,11,120,9.309090909,10.93666667,12.95625,12.48125,11.34375,10,11,3,B067132
EX63,1983,8,120,10.26875,10.1,10.58125,12.50625,14.65625,8,8,3,B067133
W11,1983,8,122,10.55625,9.784615385,10.41875,13.3,14.24375,6,7,3,B067135
EX21,1984,9,119,9.983333333,8.946428571,11.1375,10.75,13.625,6,9,8,B067135
CP18,1983,9,121,10.34444444,9.766666667,10.725,14.225,13.65625,9,9,7,B067148
W73,1983,9,119,10.11666667,10.040625,10.475,13.6125,14.29375,9,9,5,B067150
W61,1983,9,121,10.34444444,9.95625,11.28125,14.6875,12.8125,9,9,3,B067460
EX41D,1983,8,124,10.425,9.992307692,10.725,14.225,13.65625,4,4,8,B067499
EX41A,1984,9,142,10.71111111,12.54583333,15.09375,15.71875,13.9125,9,9,8,B067499
C155,1985,9,121,9.272222222,10.66428571,12.74375,13.29375,10.81875,9,9,3,B067827
MP11,1985,9,110,6.138888889,8.825,11.4125,12.68125,13.44375,7,9,3,B067853
MP14,1985,14,105,7.725,8.782142857,10.9,12.21875,12.8875,8,14,3,B067854
MP29,1985,11,111,6.795454545,9.34,11.74375,12.96875,12.8625,11,11,3,B067856
MP76,1985,13,111,7.023076923,9.660714286,11.7875,12.95625,12.48125,5,13,3,B067857
MP44,1985,12,110,6.716666667,9.196153846,11.4125,12.68125,13.44375,12,12,4,B067860
MP47,1985,10,112,6.885,9.196153846,11.4125,12.68125,13.44375,8,10,3,B067862
SW56,1985,10,112,6.885,9.185714286,11.58125,12.74375,13.29375,9,10,3,B067864
W101,1987,10,112,13.215,9.557692308,8.61875,10.975,12.83125,9,10,3,B067864
P6,1985,9,117,7.783333333,10.49666667,12.21875,12.8875,11.625,9,9,4,B067946
P11,1985,10,118,8.305,10.728125,12.74375,13.29375,10.81875,0,10,6,B067949
P7,1986,10,127,10.505,11.303125,11.2625,13.6875,14.8875,10,10,5,B067949
P6,1987,11,111,12.96818182,9.557692308,8.61875,10.975,12.83125,11,11,5,B067949
P7,1988,8,115,7.75,12.575,10.95625,11.9375,12.2125,7,8,6,B067949
SW80A,1985,7,126,9.928571429,11.41785714,12.9375,12.29375,11.2125,7,7,3,B067950
MP49,1985,10,114,7.05,10.178125,11.93125,13.03125,11.93125,10,10,3,B067995
SW51,1985,6,126,10.075,11.25333333,12.9375,12.29375,11.2125,6,6,3,B067996
C19,1985,10,117,8.01,10.72,12.56875,13.1,11.10625,6,10,2,B068229
C118,1987,10,110,12.745,10.38461538,8.65625,10.275,12.9375,8,9,4,B068229
C41,1985,9,124,9.494444444,11.73333333,13.03125,11.93125,11.39375,9,9,3,B068250
C141,1986,8,120,10.5625,10.64583333,12.01875,11.65,11.08125,0,NA,5,B068250
EX68,1984,9,142,10.71111111,12.76923077,15.44375,15.44375,13.7125,9,9,9,B068280
EX30,1984,7,143,10.75714286,12.29615385,15.09375,15.71875,13.9125,7,7,7,B068282
EX63,1984,7,136,10.05714286,11.7975,15.09375,15.71875,13.9125,6,7,3,B068283
MP41,1987,12,107,12.525,10.84583333,9.05625,9.3625,12.95,12,12,4,B068366
