box,year,Mother,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,average_temperature_laying,Hf2_r,peak_food,mismatch
B161,1965,BA12840,11.04545455,11.525,15.18125,15.33125,13.18333333,148,159,-11
B159,1966,BA12840,11.35769231,10.89375,14.975,17.3375,9.14375,154,154,0
C4,1965,BA12849,12.53214286,11.3,10.69375,14.4625,9.23,148,149,-1
B219,1965,BA12871,11.8,11.81875,11.825,11.9125,7.27,148,144,4
B48,1966,BA12871,10.71111111,10.84375,14.375,17.53125,11.58888889,154,153,1
B219,1967,BA12871,10.03,9.86875,11.30625,13.66875,8.63,156,145,11
B49,1968,BA12871,9.641176471,14.375,13.625,16.14375,8.378571429,157,158,-1
B33,1965,BA12932,12.15333333,11.81875,11.825,11.9125,7.595,148,144,4
EX60,1966,BA25442,11.25333333,11.41875,15.7375,16.8375,9.057142857,154,155,-1
EX42A,1965,BA25458,12.95,10.9875,10.5875,13.8625,9.23,148,148,0
B62,1965,BA25480,12.9,10.9125,10.675,13.3625,9.11875,148,147,1
EX30,1965,BA26423,12.67333333,11.23125,12.46875,15.85,10.07916667,148,153,-5
B229,1966,BA26495,10.32,11.2625,12.23125,16.3375,11.97857143,154,149,5
C8,1965,BA26957,12.68636364,11.9,10.9625,14.71875,11.15625,148,150,-2
C7,1966,BA26957,10.13076923,11.6125,10.89375,14.975,12.21428571,154,146,8
O29,1965,BA42003,13.01818182,11.3,10.69375,14.4625,10.805,148,149,-1
O31,1966,BA42003,11.39285714,11.41875,15.7375,16.8375,9.088888889,154,155,-1
EX51A,1966,BA42005,11.51923077,11.41875,15.7375,16.8375,10.44230769,154,155,-1
EX41D,1965,BA42243,12.634375,11.23125,12.46875,15.85,10.64444444,148,153,-5
C132,1965,BA42294,12.77142857,10.9875,10.5875,13.8625,9.255,148,148,0
EX40,1965,BA42325,12.67333333,11.23125,12.46875,15.85,10.41363636,148,153,-5
CP14,1965,BA42327,13.12083333,11.0625,10.7125,12.8875,9.266666667,148,146,2
O61,1965,BA42329,11.38333333,12.5125,11.94375,11.525,7.27,148,143,5
EX9,1965,BA42340,11.44,11.525,15.18125,15.33125,12.72777778,148,159,-11
