"","box","year","April_lay_date","Clutch_size","Mother"
"778","CP30",1967,25,8,"BC85058"
"779","O42",1967,47,8,"BC85059"
"780","O5",1967,31,8,"BC85060"
"781","O75",1967,29,10,"BC85061"
"782","EX28",1967,27,9,"BC85062"
"783","EX60",1967,35,9,"BC85063"
"784","EX38",1971,24,7,"BC85063"
"785","CP6",1967,34,8,"BC85066"
"786","W22",1967,30,9,"BC85067"
"787","EX42",1968,25,10,"BC85074"
"788","EX39C",1969,28,10,"BC85074"
"789","EX39C",1970,27,11,"BC85074"
"790","EX41B",1968,23,8,"BC85083"
"791","EX40",1969,29,8,"BC85083"
"792","B62A",1968,35,8,"BC85084"
"793","B164",1969,28,8,"BC85084"
"794","SW123",1968,31,5,"BC85106"
"795","SW124",1969,41,7,"BC85106"
"796","C4",1968,25,7,"BC85124"
"797","C37",1968,26,7,"BC85125"
"798","C136",1971,27,6,"BC85125"
"799","C6",1968,20,10,"BC85129"
"800","B150",1969,25,7,"BC85192"
"801","B64",1970,34,8,"BC85192"
"802","B65",1971,33,9,"BC85192"
"803","B65",1968,36,7,"BC85230"
"804","CP5A",1968,30,8,"BC85243"
"805","B201",1968,27,8,"BC85291"
"806","B179",1969,29,8,"BC85291"
"807","B200",1968,27,8,"BC85301"
"808","CP32",1968,32,10,"BC85313"
"809","CP30",1969,34,9,"BC85313"
"810","SW23",1968,43,7,"BC85323"
"811","SW27",1969,30,7,"BC85323"
"812","O56",1968,48,7,"BC85326"
"813","O18",1969,37,8,"BC85326"
"814","B194",1969,42,8,"BC85344"
"815","B60",1969,29,9,"BC85375"
"816","EX51",1969,30,11,"BC85380"
"817","O100",1971,36,8,"BC85459"
"818","O100",1973,32,10,"BC85459"
"819","EX36",1968,33,9,"BC85466"
"820","SW4",1968,37,7,"BC85471"
"821","SW8",1969,42,9,"BC85471"
"822","SW8",1970,37,9,"BC85471"
"823","SW29",1968,27,8,"BC85472"
"824","SW51",1968,28,10,"BC85473"
"825","SW49",1969,37,8,"BC85473"
"826","SW51",1970,34,10,"BC85473"
"827","SW67",1968,27,6,"BC85474"
"828","SW64",1968,31,8,"BC85475"
"829","SW88",1968,26,8,"BC85476"
"830","B181",1968,27,8,"BC85477"
"831","B213",1969,22,10,"BC85477"
"832","B57",1968,27,9,"BC85478"
"833","B57",1969,27,8,"BC85478"
"834","SW108",1968,36,6,"BC85481"
"835","SW108",1970,37,9,"BC85481"
"836","SW84",1968,28,8,"BC85485"
"837","SW85",1969,28,8,"BC85485"
"838","SW85",1970,32,9,"BC85485"
"839","MP19",1968,28,7,"BC85487"
"840","B34",1968,26,7,"BC85490"
"841","B34",1969,26,5,"BC85490"
"842","B27",1968,28,10,"BC85492"
"843","B27",1969,25,8,"BC85492"
"844","B216",1970,29,10,"BC85492"
"845","EX49B",1970,26,10,"BC85499"
"846","EX49B",1971,24,8,"BC85499"
"847","SW47",1968,38,8,"BC85526"
"848","CP1",1968,36,8,"BC85554"
"849","EX7",1968,23,11,"BC85560"
"850","EX5A",1969,28,11,"BC85560"
"851","O11",1970,34,11,"BC85560"
"852","EX5",1971,23,11,"BC85560"
"853","EX5",1972,11,9,"BC85560"
"854","EX6",1973,25,10,"BC85560"
"855","O50",1968,35,6,"BC85609"
"856","O73",1970,35,9,"BC85609"
"857","O59",1971,34,10,"BC85609"
"858","EX25",1968,32,9,"BC85625"
"859","W8",1969,37,8,"BC85625"
"860","EX43B",1968,30,7,"BC85828"
"861","O112",1969,48,6,"BC85829"
"862","CP40",1969,43,8,"BC85879"
"863","CP36",1968,29,9,"BC85882"
"864","EX51",1970,25,13,"BC85882"
"865","CP38",1968,28,8,"BC85887"
"866","EX39B",1969,25,10,"BC85897"
"867","EX39",1970,24,11,"BC85897"
"868","EX33",1968,25,7,"BC85899"
"869","O38",1970,36,10,"BC85913"
"870","O31",1968,30,9,"BC85914"
"871","W51",1968,26,11,"BC85919"
"872","EX10A",1968,24,8,"BC85921"
"873","EX18A",1968,28,9,"BC85922"
"874","EX34A",1969,33,8,"BC85922"
"875","EX19",1970,49,9,"BC85922"
"876","EX39",1968,31,8,"BC85923"
"877","EX36",1969,29,6,"BC85923"
"878","EX49A",1968,31,5,"BC85924"
"879","EX49A",1969,33,8,"BC85924"
"880","EX51B",1968,24,6,"BC85925"
"881","EX52",1969,28,8,"BC85925"
"882","EX67",1968,25,7,"BC85926"
"883","O16",1968,28,9,"BC85927"
"884","O76",1968,27,9,"BC85928"
"885","O75",1970,33,11,"BC85928"
"886","O73",1971,31,8,"BC85928"
"887","O80",1968,29,6,"BC85929"
"888","O78",1969,31,6,"BC85929"
"889","O81",1970,38,9,"BC85929"
"890","O27",1968,29,10,"BC85930"
"891","EX56",1968,25,6,"BC85931"
"892","W12",1968,28,12,"BC85932"
"893","W27",1968,29,10,"BC85933"
"894","EX30",1968,33,6,"BC85935"
"895","EX62F",1968,34,7,"BC85936"
"896","EX71",1968,26,8,"BC85937"
"897","EX33",1969,28,10,"BC85937"
"898","O19",1968,35,6,"BC85938"
"899","W40",1968,23,8,"BC85939"
"900","W84",1968,27,9,"BC85940"
"901","W100",1969,33,9,"BC85940"
"902","W100",1970,33,11,"BC85940"
"903","CP20",1969,32,8,"BC85945"
"904","CP19",1968,45,6,"BC85947"
"905","CP35",1969,29,10,"BC85993"
"906","C3B",1968,29,8,"BE08975"
"907","C162",1970,30,9,"BE08975"
"908","C161",1972,25,11,"BE08975"
"909","C19",1968,21,9,"BE08976"
"910","C120",1968,25,8,"BE08977"
"911","C41",1967,26,10,"BE08992"
"912","C157",1968,21,9,"BE08992"
"913","C6",1967,24,10,"BE08993"
"914","C162",1968,24,10,"BE08993"
"915","C20",1967,25,8,"BE08995"
"916","C162",1967,36,5,"BE08996"
"917","C110",1967,18,10,"BE08997"
"918","C150",1967,24,8,"BE08999"
"919","MP55",1967,32,5,"BE50002"
"920","MP60",1968,23,7,"BE50002"
"921","MP74",1967,31,7,"BE50003"
"922","CP37",1970,26,11,"BE73750"
"923","MP5",1968,25,8,"BH01229"
"924","B22",1969,24,10,"BH01229"
"925","MP46",1968,49,8,"BH01395"
"926","MP53",1969,27,8,"BH01395"
"927","MP60",1969,31,9,"BH01515"
"928","MP62",1970,32,9,"BH01515"
"929","B112",1969,35,7,"BH01563"
"930","B26",1970,38,9,"BH01563"
"931","B112",1971,27,8,"BH01563"
"932","B116",1972,24,10,"BH01563"
"933","B114",1973,38,9,"BH01563"
"934","O16",1969,34,9,"BH17566"
"935","W91",1969,34,8,"BH17574"
"936","SW64",1969,46,7,"BH17599"
"937","CP22",1969,48,8,"BH17601"
"938","W6",1969,35,10,"BH17609"
"939","W2",1969,43,8,"BH17610"
"940","EX62A",1969,40,7,"BH17612"
"941","B137",1969,35,6,"BH17617"
"942","B46",1970,36,9,"BH17617"
"943","B45",1971,34,9,"BH17617"
