box,year,April_lay_date,April_hatch_date,Clutch_size,Mother
SW104A,1984,34,62,8,B068656
SW103,1985,35,58,10,B068656
SW105,1986,33,57,10,B068656
B94,1984,41,60,6,B068657
B49,1984,29,53,6,B068658
B64,1985,21,46,10,B068658
B109,1984,40,59,9,B068661
B143,1984,42,62,7,B068662
B147,1985,34,54,9,B068662
W27,1984,29,54,12,B069042
W26,1985,22,47,11,B069042
W25,1986,40,65,15,B069042
W25,1988,29,52,12,B069042
EX13,1984,25,54,10,B069051
EX13,1985,17,43,12,B069051
W98,1984,33,54,6,B069132
EX14B,1984,39,58,8,B069189
W66,1984,36,56,8,B069199
W56,1985,36,57,10,B069199
W51,1984,37,55,5,B069236
W4B,1984,35,56,7,B069264
EX35,1984,39,60,8,B069386
EX35A,1985,22,47,11,B069386
EX17,1984,37,60,11,B069387
EX61,1984,38,58,5,B069478
EX60,1985,23,46,9,B069478
EX59,1986,35,59,8,B069478
EX58,1987,22,43,10,B069478
EX60,1984,41,61,7,B069479
W16,1984,45,62,4,B069487
C35,1985,34,59,13,B069557
C37,1985,33,54,11,B069592
C56,1986,30,52,8,B069592
C24,1984,35,55,6,B069890
C120,1985,34,52,8,B069890
MP93,1984,37,58,9,B069976
MP95,1985,23,46,11,B069976
B122,1986,38,61,7,B069976
MP96,1987,23,45,10,B069976
MP2,1988,31,49,7,B069976
EX62,1965,35,56,11,BA01191
B212,1965,19,49,11,BA01624
B216,1966,37,59,7,BA01624
B99,1965,31,53,10,BA01686
B113,1965,24,46,11,BA01767
B53,1965,20,43,9,BA02127
C57,1965,21,43,10,BA02139
O95,1967,31,53,7,BA02187
O104,1968,30,54,7,BA02190
O105,1969,37,55,7,BA02190
SW17,1965,39,58,9,BA11056
O82,1965,31,57,10,BA11071
O83,1966,36,58,10,BA11071
EX49A,1966,32,54,8,BA12254
SW67,1966,35,57,10,BA12715
SW66,1967,34,55,10,BA12715
EX62H,1965,41,60,7,BA12743
MP88,1965,31,52,11,BA12804
SW80A,1965,30,50,9,BA12836
SW80A,1966,33,54,8,BA12836
SW86,1967,39,59,9,BA12836
B161,1965,41,59,9,BA12840
B159,1966,35,54,8,BA12840
C4,1965,27,49,10,BA12849
B219,1965,20,44,10,BA12871
B48,1966,28,53,9,BA12871
B219,1967,22,45,10,BA12871
B49,1968,36,58,7,BA12871
B33,1965,21,44,10,BA12932
EX60,1966,35,55,7,BA25442
EX42A,1965,27,48,10,BA25458
B62,1965,27,47,8,BA25480
EX30,1965,28,53,12,BA26423
B229,1966,29,49,7,BA26495
C8,1965,33,50,8,BA26957
C7,1966,28,46,7,BA26957
O29,1965,30,49,10,BA42003
O31,1966,34,55,9,BA42003
EX51A,1966,31,55,13,BA42005
EX41D,1965,30,53,9,BA42243
C132,1965,26,48,10,BA42294
EX40,1965,29,53,11,BA42325
CP14,1965,27,46,9,BA42327
O61,1965,20,43,10,BA42329
EX9,1965,42,59,9,BA42340
SW10,1965,29,49,7,BA42344
SW10,1966,35,55,8,BA42344
O36,1965,27,43,6,BA42394
EX2,1965,21,43,10,BA42396
W3,1967,30,51,8,BA42455
W4A,1968,31,54,8,BA42455
O12,1965,22,47,11,BA42495
SW90,1965,36,56,8,BA42502
